FL_Round,Epoch,Node_ID,Accuracy,Loss,Validation_Accuracy,Validation_Loss,FP,TP,FN,TN,Gradient_Norm,Epoch_Time,Aggregation_Time,FL_Round_Time,Convergence_Time
1,2,1,0.7911995053291321,0.5118383169174194,0.7909089922904968,0.5121902823448181,0,230,20295,76538,43.58042,8.87699031829834,9.775161743164062e-06,0.0,73.35803389549255
1,3,1,0.7911995053291321,0.5118580460548401,0.7909089922904968,0.5121937394142151,0,230,20295,76538,24.154116,9.460300922393799,8.106231689453125e-06,0.0,73.35803389549255
1,4,1,0.7911995053291321,0.5118513107299805,0.7909089922904968,0.5121898055076599,0,230,20295,76538,36.48413,9.998141288757324,1.1920928955078125e-05,0.0,73.35803389549255
1,5,1,0.7911995053291321,0.5118533372879028,0.7909089922904968,0.5121917128562927,0,230,20295,76538,2.8547611,11.370589017868042,1.621246337890625e-05,0.0,73.35803389549255
1,6,1,0.7911995053291321,0.5118569135665894,0.7909089922904968,0.5121949315071106,0,230,20295,76538,27.934261,12.04435133934021,0.0,101.781494140625,73.35803389549255
2,1,1,0.7911995053291321,0.5118483304977417,0.7909089922904968,0.5122053623199463,0,230,20295,76538,21.116173,11.496315002441406,1.0013580322265625e-05,0.0,73.35803389549255
2,2,1,0.7911995053291321,0.5118622779846191,0.7909089922904968,0.5121963620185852,0,230,20295,76538,18.273066,11.418143033981323,1.0967254638671875e-05,0.0,73.35803389549255
2,3,1,0.7911995053291321,0.5118541121482849,0.7909089922904968,0.5121925473213196,0,230,20295,76538,53.724503,11.08645486831665,9.059906005859375e-06,0.0,73.35803389549255
2,4,1,0.7911995053291321,0.5118519067764282,0.7909089922904968,0.5121896266937256,0,230,20295,76538,17.208012,11.208853006362915,1.0967254638671875e-05,0.0,73.35803389549255
2,5,1,0.7911995053291321,0.5118547081947327,0.7909089922904968,0.512190043926239,0,230,20295,76538,19.350657,12.526602029800415,0.0,92.10595726966858,73.35803389549255
3,1,1,0.7911995053291321,0.5118685960769653,0.7909089922904968,0.51219242811203,0,230,20295,76538,12.272485,12.305128335952759,1.2159347534179688e-05,0.0,73.35803389549255
3,2,1,0.7911995053291321,0.5118629932403564,0.7909089922904968,0.5121927261352539,0,230,20295,76538,9.262466,11.093461990356445,1.0967254638671875e-05,0.0,73.35803389549255
3,3,1,0.7911995053291321,0.511853814125061,0.7909089922904968,0.5121907591819763,0,230,20295,76538,18.23131,10.700184106826782,1.0967254638671875e-05,0.0,73.35803389549255
